"","worst_deal","better_deal","binary_target"
"290","7264929.0","8597734.0","1.0"
"291","8597734.0","7264929.0","0.0"
"292","7264929.0","8413492.0","1.0"
"293","8413492.0","7264929.0","0.0"
"294","7264929.0","5663559.0","1.0"
"295","5663559.0","7264929.0","0.0"
"296","7264929.0","8379645.0","1.0"
"297","8379645.0","7264929.0","0.0"
"298","7264929.0","8984512.0","1.0"
"299","8984512.0","7264929.0","0.0"
"300","7264929.0","6601918.0","1.0"
"301","6601918.0","7264929.0","0.0"
"302","7264929.0","11504059.0","1.0"
"303","11504059.0","7264929.0","0.0"
"304","7264929.0","11128327.0","1.0"
"305","11128327.0","7264929.0","0.0"
"306","6756290.0","10112367.0","1.0"
"307","10112367.0","6756290.0","0.0"
"308","6756290.0","7264929.0","1.0"
"309","7264929.0","6756290.0","0.0"
"310","6756290.0","7294741.0","1.0"
"311","7294741.0","6756290.0","0.0"
"312","6756290.0","7541851.0","1.0"
"313","7541851.0","6756290.0","0.0"
"314","6756290.0","6068934.0","1.0"
"315","6068934.0","6756290.0","0.0"
"316","6756290.0","10106328.0","1.0"
"317","10106328.0","6756290.0","0.0"
"318","6756290.0","12039411.0","1.0"
"319","12039411.0","6756290.0","0.0"
"320","6756290.0","10882677.0","1.0"
"321","10882677.0","6756290.0","0.0"
"322","6756290.0","10183442.0","1.0"
"323","10183442.0","6756290.0","0.0"
"324","6756290.0","11472869.0","1.0"
"325","11472869.0","6756290.0","0.0"
